,target_sa2,mcc,avg_spent_index,trx_count_index
454,402041171,Personal Services,0.132961895,0.126454465
455,402041171,Professional Services,0.090119053,0.102890732
456,402041171,Retail Food Grocery and Supermarkets,0.392873214,0.526104384
457,402041171,Trades and Light Manufacturing,0.377567364,0.044702046
458,402041171,Travel Accommodation and Rentals,0.022689654,0.176142894
459,402041172,Auto and Transportation,0.045980988,0.561481369
460,402041172,Dining Sports and Entertainment,0.07902821,0.178769287
461,402041172,Hardware Supplies and Homewares,0.312488007,0.129115052
462,402041172,Luxury and Speciality Stores,0.069846604,0.181288711
463,402041172,Personal Services,0.249772783,0.131513473
464,402041172,Retail Food Grocery and Supermarkets,0.417660989,0.302638686
465,402041172,Trades and Light Manufacturing,0.416411646,0.093760042
466,402041172,Travel Accommodation and Rentals,0.021718926,0.140649798
467,402051049,Apparel Discount and Department Stores,0.163123386,0.17916436
468,402051049,Auto and Transportation,0.05049145,0.167590302
469,402051049,Dining Sports and Entertainment,0.126422822,0.616145224
470,402051049,Hardware Supplies and Homewares,0.194135853,0.176613396
471,402051049,Luxury and Speciality Stores,0.082106086,0.144468401
